TransactionID,TransactionAmt,ProductCD,card4,card6,P_emaildomain,R_emaildomain,DeviceType,DeviceInfo,RelativeHour
3459490,167.0,W,mastercard,debit,Missing,Missing,Missing,Missing,3
3459491,150.95,W,mastercard,debit,hotmail.com,Missing,Missing,Missing,3
3459492,59.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,3
3459493,59.0,W,visa,debit,Missing,Missing,Missing,Missing,3
3459494,20.95,W,visa,debit,gmail.com,Missing,Missing,Missing,3
3459495,107.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,3
3459496,117.0,W,mastercard,debit,aol.com,Missing,Missing,Missing,3
3459497,54.0,W,visa,debit,suddenlink.net,Missing,Missing,Missing,3
3459498,59.0,W,visa,debit,rocketmail.com,Missing,Missing,Missing,3
3459499,147.552,C,mastercard,debit,gmail.com,gmail.com,desktop,Windows,3
3459500,108.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,3
3459501,20.95,W,visa,credit,gmail.com,Missing,Missing,Missing,4
3459502,117.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,4
3459503,42.913,C,mastercard,credit,hotmail.com,hotmail.com,mobile,SM-G950F Build/NRD90M,4
3459504,147.552,C,visa,debit,gmail.com,gmail.com,desktop,Windows,4
3459505,57.95,W,visa,debit,icloud.com,Missing,Missing,Missing,4
3459506,31.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,4
3459507,59.636,C,mastercard,credit,hotmail.com,hotmail.com,desktop,Windows,4
3459508,98.5,W,mastercard,debit,gmail.com,Missing,Missing,Missing,4
3459509,555.53,W,visa,credit,gmail.com,Missing,Missing,Missing,4
3459510,59.636,C,mastercard,credit,hotmail.com,hotmail.com,desktop,Windows,4
3459511,209.95,W,visa,debit,gmail.com,Missing,Missing,Missing,4
3459512,103.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,4
3459513,57.95,W,visa,debit,Missing,Missing,Missing,Missing,4
3459514,59.636,C,mastercard,credit,hotmail.com,hotmail.com,desktop,Windows,4
3459515,87.99,W,mastercard,debit,gmail.com,Missing,Missing,Missing,4
3459516,77.0,W,mastercard,debit,Missing,Missing,Missing,Missing,4
3459517,21.97,W,visa,debit,gmail.com,Missing,Missing,Missing,4
3459518,21.95,W,visa,debit,gmail.com,Missing,Missing,Missing,4
3459519,55.578,C,mastercard,credit,hotmail.com,hotmail.com,mobile,Missing,4
3459520,1090.0,W,visa,credit,yahoo.com,Missing,Missing,Missing,4
3459521,103.0,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,4
3459522,125.0,R,mastercard,debit,aol.com,aol.com,mobile,iOS Device,4
3459523,26.252,C,mastercard,credit,hotmail.de,hotmail.de,mobile,Missing,4
3459524,31.601,C,visa,credit,yahoo.com.mx,yahoo.com.mx,desktop,Windows,4
3459525,117.0,W,visa,credit,Missing,Missing,Missing,Missing,4
3459526,117.0,W,visa,debit,gmail.com,Missing,Missing,Missing,4
3459527,6.332,C,visa,debit,gmail.com,gmail.com,Missing,Missing,4
3459528,44.88,C,visa,credit,hotmail.com,hotmail.com,desktop,Moto G (5) Build/NPP25.137-93,4
3459529,58.95,W,visa,debit,gmail.com,Missing,Missing,Missing,4
3459530,51.274,C,visa,credit,anonymous.com,anonymous.com,mobile,ASUS_X00ID,4
3459531,334.95,W,visa,debit,gmail.com,Missing,Missing,Missing,4
3459532,86.49,W,visa,debit,yahoo.com,Missing,Missing,Missing,4
3459533,83.95,W,visa,debit,gmail.com,Missing,Missing,Missing,4
3459534,31.601,C,visa,debit,hotmail.com,hotmail.com,mobile,SM-G610M Build/MMB29K,4
3459535,20.903,C,visa,credit,live.com.mx,live.com.mx,mobile,Moto Z2 Play Build/NPSS26.118-19-14,4
3459536,46.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,4
3459537,2.644,C,mastercard,credit,gmail.com,gmail.com,desktop,Moto G (4) Build/NPJS25.93-14-10,4
3459538,200.95,W,visa,debit,yahoo.com.mx,Missing,Missing,Missing,4
3459539,6.332,C,visa,credit,hotmail.com,hotmail.com,Missing,Missing,4
3459540,47.95,W,mastercard,credit,sbcglobal.net,Missing,Missing,Missing,4
3459541,20.903,C,visa,credit,live.com.mx,live.com.mx,mobile,Moto Z2 Play Build/NPSS26.118-19-14,4
3459542,59.0,W,visa,debit,Missing,Missing,Missing,Missing,4
3459543,10.0,S,visa,debit,Missing,gmail.com,desktop,Missing,4
3459544,20.903,C,visa,credit,live.com.mx,live.com.mx,mobile,Moto Z2 Play Build/NPSS26.118-19-14,4
3459545,159.95,W,mastercard,credit,Missing,Missing,Missing,Missing,4
3459546,30.95,W,mastercard,debit,Missing,Missing,Missing,Missing,4
3459547,20.903,C,visa,credit,live.com.mx,live.com.mx,Missing,Missing,4
3459548,11.681,C,mastercard,debit,hotmail.com,hotmail.com,mobile,LG-D693n Build/LRX22G,4
3459549,15.95,W,mastercard,credit,yahoo.com,Missing,Missing,Missing,4
3459550,17.214,C,mastercard,debit,hotmail.com,hotmail.com,desktop,Windows,4
3459551,316.63,W,visa,debit,yahoo.com,Missing,Missing,Missing,4
3459552,2594.95,W,mastercard,credit,me.com,Missing,Missing,Missing,4
3459553,2594.95,W,mastercard,credit,me.com,Missing,Missing,Missing,4
3459554,47.708,C,visa,credit,hotmail.com,hotmail.com,mobile,Moto G Play Build/MPIS24.241-15.3-7,4
3459555,54.5,W,visa,debit,gmail.com,Missing,Missing,Missing,4
3459556,11.435,C,mastercard,credit,hotmail.fr,hotmail.fr,desktop,Missing,4
3459557,47.708,C,visa,credit,hotmail.com,hotmail.com,mobile,Moto G Play Build/MPIS24.241-15.3-7,5
3459558,108.95,W,mastercard,credit,aol.com,Missing,Missing,Missing,5
3459559,47.708,C,visa,credit,hotmail.com,hotmail.com,mobile,Moto G Play Build/MPIS24.241-15.3-7,5
3459560,319.95,W,mastercard,debit,Missing,Missing,Missing,Missing,5
3459561,108.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,5
3459562,209.95,W,visa,debit,Missing,Missing,Missing,Missing,5
3459563,12.234,C,visa,debit,gmail.com,gmail.com,mobile,SM-J700M Build/MMB29K,5
3459564,27.0,W,visa,debit,att.net,Missing,Missing,Missing,5
3459565,57.95,W,visa,debit,Missing,Missing,Missing,Missing,5
3459566,75.45,W,visa,debit,gmail.com,Missing,Missing,Missing,5
3459567,98.95,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,5
3459568,7.623,C,visa,debit,outlook.es,outlook.es,mobile,Missing,5
3459569,40.085,C,visa,credit,hotmail.com,hotmail.com,mobile,Moto G Play Build/MPIS24.241-15.3-7,5
3459570,39.0,W,visa,credit,yahoo.com,Missing,Missing,Missing,5
3459571,28.896,C,mastercard,debit,gmail.com,gmail.com,desktop,Missing,5
3459572,37.257,C,visa,credit,gmail.com,gmail.com,desktop,Windows,5
3459573,507.95,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,5
3459574,21.641,C,visa,debit,gmail.com,gmail.com,mobile,XT1064 Build/MPB24.65-34-3,5
3459575,28.896,C,mastercard,debit,gmail.com,gmail.com,desktop,Missing,5
3459576,554.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,5
3459577,28.896,C,mastercard,debit,gmail.com,gmail.com,desktop,Missing,5
3459578,315.95,W,visa,debit,icloud.com,Missing,Missing,Missing,5
3459579,57.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,5
3459580,28.896,C,mastercard,debit,gmail.com,gmail.com,desktop,Missing,5
3459581,28.896,C,mastercard,credit,gmail.com,gmail.com,desktop,Missing,5
3459582,34.0,W,mastercard,credit,gmail.com,Missing,Missing,Missing,5
3459583,30.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,5
3459584,34.0,W,visa,credit,gmail.com,Missing,Missing,Missing,5
3459585,15.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,5
3459586,57.95,W,visa,debit,gmail.com,Missing,Missing,Missing,5
3459587,47.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,5
3459588,35.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,5
3459589,25.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,5
3459590,51.889,C,mastercard,debit,hotmail.com,hotmail.com,desktop,Moto G (5) Build/NPP25.137-82,5
3459591,117.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,5
3459592,184.95,W,visa,credit,gmail.com,Missing,Missing,Missing,5
3459593,87.95,W,visa,debit,msn.com,Missing,Missing,Missing,5
3459594,311.95,W,visa,debit,gmail.com,Missing,Missing,Missing,5
3459595,88.95,W,visa,debit,gmail.com,Missing,Missing,Missing,5
3459596,169.0,W,visa,debit,gmail.com,Missing,Missing,Missing,5
3459597,17.05,W,visa,debit,comcast.net,Missing,Missing,Missing,6
3459598,20.95,W,visa,debit,gmail.com,Missing,Missing,Missing,6
3459599,117.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,6
3459600,88.5,W,visa,debit,yahoo.com,Missing,Missing,Missing,6
3459601,68.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,6
3459602,36.95,W,visa,debit,gmail.com,Missing,Missing,Missing,6
3459603,49.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,6
3459604,44.5,W,visa,debit,gmail.com,Missing,Missing,Missing,6
3459605,77.0,W,visa,debit,gmail.com,Missing,Missing,Missing,6
3459606,88.5,W,visa,debit,yahoo.com,Missing,Missing,Missing,6
3459607,39.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,6
3459608,49.0,W,visa,debit,Missing,Missing,Missing,Missing,6
3459609,125.0,R,visa,debit,gmail.com,anonymous.com,desktop,Windows,6
3459610,50.0,R,visa,credit,gmail.com,gmail.com,desktop,MacOS,6
3459611,55.0,S,mastercard,debit,Missing,yahoo.com,desktop,Windows,6
3459612,18.99,W,visa,debit,gmail.com,Missing,Missing,Missing,6
3459613,209.95,W,visa,debit,gmail.com,Missing,Missing,Missing,6
3459614,44.5,W,visa,debit,yahoo.com,Missing,Missing,Missing,6
3459615,49.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,6
3459616,335.0,W,visa,debit,gmail.com,Missing,Missing,Missing,6
3459617,335.0,W,visa,debit,Missing,Missing,Missing,Missing,6
3459618,335.0,W,visa,debit,gmail.com,Missing,Missing,Missing,6
3459619,107.95,W,mastercard,debit,outlook.com,Missing,Missing,Missing,6
3459620,34.306,C,mastercard,debit,hotmail.com,hotmail.com,desktop,Windows,6
3459621,49.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,6
3459622,117.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,7
3459623,149.95,W,visa,debit,Missing,Missing,Missing,Missing,7
3459624,97.95,W,mastercard,credit,yahoo.com,Missing,Missing,Missing,7
3459625,39.0,W,visa,credit,hotmail.com,Missing,Missing,Missing,7
3459626,117.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,7
3459627,12.436,C,visa,debit,gmail.com,gmail.com,desktop,Windows,7
3459628,12.436,C,visa,debit,gmail.com,gmail.com,desktop,Windows,7
3459629,12.436,C,visa,debit,gmail.com,gmail.com,desktop,Windows,7
3459630,12.436,C,visa,debit,gmail.com,gmail.com,desktop,Windows,7
3459631,261.95,W,visa,debit,anonymous.com,Missing,Missing,Missing,7
3459632,188.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,7
3459633,88.0,W,visa,debit,hotmail.com,Missing,Missing,Missing,7
3459634,129.95,W,visa,debit,gmail.com,Missing,Missing,Missing,7
3459635,12.436,C,visa,debit,gmail.com,gmail.com,desktop,Windows,7
3459636,159.95,W,visa,debit,Missing,Missing,Missing,Missing,8
3459637,59.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,8
3459638,107.95,W,visa,debit,Missing,Missing,Missing,Missing,8
3459639,15.616,C,visa,debit,gmail.com,gmail.com,desktop,Windows,8
3459640,15.616,C,visa,debit,gmail.com,gmail.com,desktop,Windows,8
3459641,196.0,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,8
3459642,336.58,W,mastercard,debit,gmail.com,Missing,Missing,Missing,8
3459643,57.95,W,visa,debit,anonymous.com,Missing,Missing,Missing,8
3459644,77.0,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,9
3459645,336.58,W,mastercard,debit,gmail.com,Missing,Missing,Missing,9
3459646,102.99,W,mastercard,credit,yahoo.com,Missing,Missing,Missing,9
3459647,134.95,W,visa,debit,aol.com,Missing,Missing,Missing,9
3459648,57.95,W,visa,debit,gmail.com,Missing,Missing,Missing,9
3459649,34.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,9
3459650,107.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,9
3459651,27.97,W,visa,debit,gmail.com,Missing,Missing,Missing,9
3459652,2399.49,W,visa,debit,icloud.com,Missing,Missing,Missing,9
3459653,57.95,W,visa,debit,Missing,Missing,Missing,Missing,9
3459654,527.0,W,visa,debit,gmail.com,Missing,Missing,Missing,9
3459655,107.95,W,visa,debit,hotmail.com,Missing,Missing,Missing,9
3459656,104.0,W,visa,debit,gmail.com,Missing,Missing,Missing,9
3459657,59.0,W,mastercard,debit,Missing,Missing,Missing,Missing,9
3459658,50.0,H,visa,debit,gmail.com,gmail.com,desktop,Windows,9
3459659,87.95,W,visa,debit,gmail.com,Missing,Missing,Missing,10
3459660,47.95,W,visa,debit,gmail.com,Missing,Missing,Missing,10
3459661,25.0,H,mastercard,debit,yahoo.com,yahoo.com,Missing,Missing,10
3459662,72.99,W,discover,credit,gmail.com,Missing,Missing,Missing,10
3459663,842.0,W,visa,debit,gmail.com,Missing,Missing,Missing,10
3459664,59.0,W,visa,debit,Missing,Missing,Missing,Missing,10
3459665,107.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,10
3459666,226.0,W,visa,debit,hotmail.com,Missing,Missing,Missing,10
3459667,35.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,10
3459668,445.0,W,visa,debit,gmail.com,Missing,Missing,Missing,10
3459669,42.95,W,visa,debit,gmail.com,Missing,Missing,Missing,10
3459670,445.0,W,visa,debit,outlook.com,Missing,Missing,Missing,10
3459671,445.0,W,visa,debit,outlook.com,Missing,Missing,Missing,10
3459672,100.0,H,visa,credit,frontier.com,gmail.com,mobile,iOS Device,10
3459673,95.0,S,mastercard,debit,Missing,icloud.com,desktop,Windows,10
3459674,445.0,W,visa,debit,outlook.com,Missing,Missing,Missing,10
3459675,72.0,W,visa,debit,Missing,Missing,Missing,Missing,10
3459676,117.0,W,mastercard,credit,yahoo.com,Missing,Missing,Missing,10
3459677,59.0,W,visa,debit,verizon.net,Missing,Missing,Missing,10
3459678,34.0,W,visa,credit,gmail.com,Missing,Missing,Missing,10
3459679,445.0,W,visa,debit,gmail.com,Missing,Missing,Missing,10
3459680,29.5,W,visa,debit,aol.com,Missing,Missing,Missing,10
3459681,445.0,W,visa,debit,gmail.com,Missing,Missing,Missing,10
3459682,98.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,10
3459683,445.0,W,visa,debit,outlook.com,Missing,Missing,Missing,10
3459684,201.0,W,visa,debit,Missing,Missing,Missing,Missing,10
3459685,265.99,W,mastercard,credit,comcast.net,Missing,Missing,Missing,10
3459686,22.502,C,mastercard,debit,gmail.com,gmail.com,mobile,RNE-L03 Build/HUAWEIRNE-L03,11
3459687,150.0,R,visa,credit,hotmail.com,gmail.com,desktop,Windows,11
3459688,57.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,11
3459689,150.0,R,visa,credit,hotmail.com,gmail.com,desktop,Windows,11
3459690,49.0,W,mastercard,debit,sbcglobal.net,Missing,Missing,Missing,11
3459691,57.95,W,visa,debit,gmail.com,Missing,Missing,Missing,11
3459692,1961.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,11
3459693,378.0,W,mastercard,debit,Missing,Missing,Missing,Missing,11
3459694,335.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,11
3459695,54.0,W,visa,debit,aol.com,Missing,Missing,Missing,11
3459696,50.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,11
3459697,50.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,11
3459698,43.528,C,mastercard,credit,gmail.com,gmail.com,mobile,RNE-L03 Build/HUAWEIRNE-L03,11
3459699,159.0,W,visa,debit,gmail.com,Missing,Missing,Missing,11
3459700,311.95,W,visa,debit,gmail.com,Missing,Missing,Missing,11
3459701,67.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,11
3459702,117.0,W,mastercard,debit,aol.com,Missing,Missing,Missing,11
3459703,59.0,W,visa,debit,gmail.com,Missing,Missing,Missing,11
3459704,554.0,W,mastercard,debit,comcast.net,Missing,Missing,Missing,11
3459705,57.95,W,visa,debit,Missing,Missing,Missing,Missing,11
3459706,356.5,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,11
3459707,17.829,C,visa,credit,gmail.com,gmail.com,mobile,LG-X210 Build/LMY47I,11
3459708,150.0,R,mastercard,debit,gmail.com,gmail.com,mobile,iOS Device,11
3459709,150.0,R,mastercard,debit,gmail.com,gmail.com,mobile,iOS Device,11
3459710,159.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,11
3459711,150.0,R,mastercard,debit,gmail.com,gmail.com,mobile,iOS Device,11
3459712,150.0,R,mastercard,debit,gmail.com,gmail.com,mobile,iOS Device,11
3459713,107.95,W,mastercard,debit,Missing,Missing,Missing,Missing,11
3459714,107.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,11
3459715,150.0,R,mastercard,debit,gmail.com,gmail.com,mobile,iOS Device,11
3459716,59.0,W,mastercard,debit,Missing,Missing,Missing,Missing,11
3459717,150.0,R,mastercard,debit,gmail.com,gmail.com,mobile,iOS Device,11
3459718,49.0,W,mastercard,debit,Missing,Missing,Missing,Missing,11
3459719,117.0,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,11
3459720,59.0,W,visa,debit,gmail.com,Missing,Missing,Missing,11
3459721,117.0,W,visa,credit,bellsouth.net,Missing,Missing,Missing,11
3459722,150.0,R,visa,credit,gmail.com,gmail.com,mobile,iOS Device,11
3459723,49.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,11
3459724,59.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,11
3459725,57.95,W,visa,debit,anonymous.com,Missing,Missing,Missing,11
3459726,117.0,W,visa,credit,bellsouth.net,Missing,Missing,Missing,11
3459727,57.95,W,visa,debit,gmail.com,Missing,Missing,Missing,11
3459728,207.5,W,visa,debit,gmail.com,Missing,Missing,Missing,11
3459729,117.0,W,visa,credit,bellsouth.net,Missing,Missing,Missing,11
3459730,47.95,W,visa,debit,gmail.com,Missing,Missing,Missing,11
3459731,117.0,W,visa,credit,bellsouth.net,Missing,Missing,Missing,11
3459732,57.95,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,11
3459733,57.95,W,visa,debit,Missing,Missing,Missing,Missing,11
3459734,117.0,W,visa,debit,bellsouth.net,Missing,Missing,Missing,11
3459735,117.0,W,visa,credit,yahoo.com,Missing,Missing,Missing,11
3459736,78.97,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,11
3459737,45.5,W,mastercard,credit,gmail.com,Missing,Missing,Missing,11
3459738,1099.0,W,mastercard,credit,gmail.com,Missing,Missing,Missing,11
3459739,280.0,W,mastercard,credit,aol.com,Missing,Missing,Missing,11
3459740,295.0,W,mastercard,credit,Missing,Missing,Missing,Missing,11
3459741,117.0,W,discover,credit,bellsouth.net,Missing,Missing,Missing,11
3459742,200.0,R,american express,credit,anonymous.com,aol.com,desktop,Trident/7.0,11
3459743,54.5,W,visa,debit,yahoo.com,Missing,Missing,Missing,11
3459744,77.0,W,visa,debit,Missing,Missing,Missing,Missing,11
3459745,40.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,11
3459746,77.0,W,visa,debit,Missing,Missing,Missing,Missing,11
3459747,15.0,W,mastercard,debit,hotmail.com,Missing,Missing,Missing,11
3459748,24.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,11
3459749,77.0,W,visa,debit,Missing,Missing,Missing,Missing,11
3459750,59.0,W,mastercard,debit,Missing,Missing,Missing,Missing,11
3459751,25.95,W,visa,debit,Missing,Missing,Missing,Missing,11
3459752,200.0,R,american express,credit,anonymous.com,aol.com,desktop,Trident/7.0,11
3459753,32.215,C,visa,debit,gmail.com,gmail.com,mobile,SM-J700M Build/MMB29K,11
3459754,299.95,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,11
3459755,77.0,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459756,57.95,W,visa,debit,Missing,Missing,Missing,Missing,12
3459757,151.0,W,visa,debit,outlook.com,Missing,Missing,Missing,12
3459758,312.95,W,visa,debit,Missing,Missing,Missing,Missing,12
3459759,50.0,R,mastercard,debit,yahoo.com,icloud.com,mobile,iOS Device,12
3459760,59.0,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459761,57.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,12
3459762,117.0,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459763,31.0,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459764,54.0,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459765,49.0,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459766,59.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,12
3459767,662.47,W,visa,debit,anonymous.com,Missing,Missing,Missing,12
3459768,49.0,W,visa,debit,aol.com,Missing,Missing,Missing,12
3459769,47.95,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,12
3459770,77.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,12
3459771,26.0,W,visa,debit,yahoo.com,Missing,Missing,Missing,12
3459772,31.95,W,visa,debit,yahoo.com,Missing,Missing,Missing,12
3459773,29.0,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459774,103.95,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459775,107.95,W,mastercard,debit,gmail.com,Missing,Missing,Missing,12
3459776,1011.95,W,visa,debit,hotmail.com,Missing,Missing,Missing,12
3459777,25.0,H,mastercard,debit,gmail.com,gmail.com,desktop,Windows,12
3459778,57.95,W,mastercard,debit,Missing,Missing,Missing,Missing,12
3459779,35.95,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459780,39.0,W,visa,debit,comcast.net,Missing,Missing,Missing,12
3459781,117.0,W,mastercard,debit,gmail.com,Missing,Missing,Missing,12
3459782,160.5,W,mastercard,debit,gmail.com,Missing,Missing,Missing,12
3459783,27.297,C,mastercard,credit,yahoo.fr,yahoo.fr,mobile,SM-A520F Build/NRD90M,12
3459784,409.0,W,discover,credit,gmail.com,Missing,Missing,Missing,12
3459785,449.95,W,discover,debit,charter.net,Missing,Missing,Missing,12
3459786,335.0,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459787,115.0,W,mastercard,debit,Missing,Missing,Missing,Missing,12
3459788,105.95,W,mastercard,debit,yahoo.com,Missing,Missing,Missing,12
3459789,97.0,W,visa,debit,gmail.com,Missing,Missing,Missing,12
3459790,59.0,W,mastercard,credit,Missing,Missing,Missing,Missing,12
3459791,50.0,S,visa,debit,Missing,hotmail.com,desktop,Windows,12
3459792,350.0,R,visa,credit,anonymous.com,anonymous.com,desktop,Windows,12
